Fecha,idCerveza,NombreCerveza,Precio,CantidadVendida,Ganancia
09/01/2022,3,Cold Beer B,7.05,57,401.85
09/01/2022,4,Lost Lager,7.23,57,412.11
09/01/2022,5,King Crush,8.29,53,439.37
09/01/2022,6,Wingman Tro,7.55,73,551.15
09/01/2022,7,Grind Stout,7.86,1,7.86
09/01/2022,8,Juice Shack,8.31,20,166.2
09/01/2022,9,Rocky Road,8.4,10,84
09/01/2022,10,Wingman,8.34,67,558.78
09/01/2022,11,Arcade Made,8.82,31,273.42
09/01/2022,12,Punk IPA,7.81,82,640.42
09/01/2022,13,Hazy Jane,8.46,95,803.7
09/01/2022,14,Shore Leave,7.74,40,309.6
09/01/2022,15,Simcoe Solo,7.29,57,415.53
09/01/2022,16,Lucky Break,8.37,55,460.35
10/01/2022,1,Black Heart,8.56,56,479.36
10/01/2022,2,Fools Gold,8.07,77,621.39
10/01/2022,3,Cold Beer B,7.05,65,458.25
10/01/2022,4,Lost Lager,7.23,1,7.23
10/01/2022,5,King Crush,8.29,45,373.05
10/01/2022,6,Wingman Tro,7.55,96,724.8
10/01/2022,7,Grind Stout,7.86,86,675.96
10/01/2022,8,Juice Shack,8.31,24,199.44
10/01/2022,9,Rocky Road,8.4,42,352.8
10/01/2022,10,Wingman,8.34,18,150.12
10/01/2022,11,Arcade Made,8.82,39,343.98
10/01/2022,12,Punk IPA,7.81,77,601.37
10/01/2022,13,Hazy Jane,8.46,56,473.76
10/01/2022,14,Shore Leave,7.74,100,774
10/01/2022,15,Simcoe Solo,7.29,79,575.91
10/01/2022,16,Lucky Break,8.37,85,711.45
11/01/2022,1,Black Heart,8.56,16,136.96
11/01/2022,2,Fools Gold,8.07,83,669.81
11/01/2022,3,Cold Beer B,7.05,63,444.15
11/01/2022,4,Lost Lager,7.23,66,477.18
11/01/2022,5,King Crush,8.29,63,522.27
11/01/2022,6,Wingman Tro,7.55,70,528.5
11/01/2022,7,Grind Stout,7.86,71,558.06
11/01/2022,8,Juice Shack,8.31,57,473.67
11/01/2022,9,Rocky Road,8.4,83,697.2
11/01/2022,10,Wingman,8.34,98,817.32
11/01/2022,11,Arcade Made,8.82,61,538.02
11/01/2022,12,Punk IPA,7.81,15,117.15
11/01/2022,13,Hazy Jane,8.46,18,152.28
11/01/2022,14,Shore Leave,7.74,60,464.4
11/01/2022,15,Simcoe Solo,7.29,91,663.39
11/01/2022,16,Lucky Break,8.37,17,142.29
12/01/2022,1,Black Heart,8.56,20,171.2
12/01/2022,2,Fools Gold,8.07,25,201.75
12/01/2022,3,Cold Beer B,7.05,58,408.9
12/01/2022,4,Lost Lager,7.23,11,79.53
12/01/2022,5,King Crush,8.29,98,812.42
12/01/2022,6,Wingman Tro,7.55,32,241.6
12/01/2022,7,Grind Stout,7.86,13,102.18
12/01/2022,8,Juice Shack,8.31,30,249.3
12/01/2022,9,Rocky Road,8.4,93,781.2
12/01/2022,10,Wingman,8.34,89,742.26
12/01/2022,11,Arcade Made,8.82,46,405.72
12/01/2022,12,Punk IPA,7.81,81,632.61
12/01/2022,13,Hazy Jane,8.46,30,253.8
12/01/2022,14,Shore Leave,7.74,82,634.68
12/01/2022,15,Simcoe Solo,7.29,94,685.26
12/01/2022,16,Lucky Break,8.37,98,820.26
13/01/2022,1,Black Heart,8.56,60,513.6
13/01/2022,2,Fools Gold,8.07,19,153.33
13/01/2022,3,Cold Beer B,7.05,55,387.75
13/01/2022,4,Lost Lager,7.23,70,506.1
13/01/2022,5,King Crush,8.29,72,596.88
13/01/2022,6,Wingman Tro,7.55,76,573.8
13/01/2022,7,Grind Stout,7.86,43,337.98
13/01/2022,8,Juice Shack,8.31,56,465.36
13/01/2022,9,Rocky Road,8.4,44,369.6
13/01/2022,10,Wingman,8.34,5,41.7
13/01/2022,11,Arcade Made,8.82,18,158.76
13/01/2022,12,Punk IPA,7.81,96,749.76
13/01/2022,13,Hazy Jane,8.46,77,651.42
13/01/2022,14,Shore Leave,7.74,84,650.16
13/01/2022,15,Simcoe Solo,7.29,2,14.58
13/01/2022,16,Lucky Break,8.37,40,334.8
14/01/2022,1,Black Heart,8.56,79,676.24
14/01/2022,2,Fools Gold,8.07,34,274.38
14/01/2022,3,Cold Beer B,7.05,67,472.35
14/01/2022,4,Lost Lager,7.23,77,556.71
14/01/2022,5,King Crush,8.29,36,298.44
14/01/2022,6,Wingman Tro,7.55,38,286.9
14/01/2022,7,Grind Stout,7.86,78,613.08
14/01/2022,8,Juice Shack,8.31,1,8.31
14/01/2022,9,Rocky Road,8.4,35,294
14/01/2022,10,Wingman,8.34,100,834
14/01/2022,11,Arcade Made,8.82,100,882
14/01/2022,12,Punk IPA,7.81,30,234.3
14/01/2022,13,Hazy Jane,8.46,63,532.98
14/01/2022,14,Shore Leave,7.74,55,425.7
14/01/2022,15,Simcoe Solo,7.29,30,218.7
14/01/2022,16,Lucky Break,8.37,65,544.05
15/01/2022,1,Black Heart,8.56,43,368.08
15/01/2022,2,Fools Gold,8.07,70,564.9
15/01/2022,3,Cold Beer B,7.05,7,49.35
15/01/2022,4,Lost Lager,7.23,67,484.41
15/01/2022,5,King Crush,8.29,95,787.55
15/01/2022,6,Wingman Tro,7.55,57,430.35
15/01/2022,7,Grind Stout,7.86,23,180.78
15/01/2022,8,Juice Shack,8.31,82,681.42
15/01/2022,9,Rocky Road,8.4,21,176.4
15/01/2022,10,Wingman,8.34,30,250.2
15/01/2022,11,Arcade Made,8.82,9,79.38
15/01/2022,12,Punk IPA,7.81,65,507.65
15/01/2022,13,Hazy Jane,8.46,43,363.78
15/01/2022,14,Shore Leave,7.74,34,263.16
15/01/2022,15,Simcoe Solo,7.29,59,430.11
15/01/2022,16,Lucky Break,8.37,60,502.2
16/01/2022,1,Black Heart,8.56,80,684.8
16/01/2022,2,Fools Gold,8.07,15,121.05
16/01/2022,3,Cold Beer B,7.05,65,458.25
16/01/2022,4,Lost Lager,7.23,46,332.58
16/01/2022,5,King Crush,8.29,54,447.66
16/01/2022,6,Wingman Tro,7.55,51,385.05
16/01/2022,7,Grind Stout,7.86,12,94.32
16/01/2022,8,Juice Shack,8.31,25,207.75
16/01/2022,9,Rocky Road,8.4,53,445.2
16/01/2022,10,Wingman,8.34,24,200.16
16/01/2022,11,Arcade Made,8.82,65,573.3
16/01/2022,12,Punk IPA,7.81,66,515.46
16/01/2022,13,Hazy Jane,8.46,40,338.4
16/01/2022,14,Shore Leave,7.74,33,255.42
16/01/2022,15,Simcoe Solo,7.29,29,211.41
16/01/2022,16,Lucky Break,8.37,4,33.48
17/01/2022,1,Black Heart,8.56,67,573.52
17/01/2022,2,Fools Gold,8.07,62,500.34
17/01/2022,3,Cold Beer B,7.05,47,331.35
17/01/2022,4,Lost Lager,7.23,75,542.25
17/01/2022,5,King Crush,8.29,90,746.1
17/01/2022,6,Wingman Tro,7.55,33,249.15
17/01/2022,7,Grind Stout,7.86,93,730.98
17/01/2022,8,Juice Shack,8.31,33,274.23
17/01/2022,9,Rocky Road,8.4,20,168
17/01/2022,10,Wingman,8.34,43,358.62
17/01/2022,11,Arcade Made,8.82,79,696.78
17/01/2022,12,Punk IPA,7.81,62,484.22
17/01/2022,13,Hazy Jane,8.46,60,507.6
17/01/2022,14,Shore Leave,7.74,74,572.76
17/01/2022,15,Simcoe Solo,7.29,12,87.48
17/01/2022,16,Lucky Break,8.37,5,41.85
18/01/2022,1,Black Heart,8.56,46,393.76
18/01/2022,2,Fools Gold,8.07,14,112.98
18/01/2022,3,Cold Beer B,7.05,41,289.05
18/01/2022,4,Lost Lager,7.23,68,491.64
18/01/2022,5,King Crush,8.29,1,8.29
18/01/2022,6,Wingman Tro,7.55,58,437.9
18/01/2022,7,Grind Stout,7.86,76,597.36
18/01/2022,8,Juice Shack,8.31,13,108.03
18/01/2022,9,Rocky Road,8.4,60,504
18/01/2022,10,Wingman,8.34,42,350.28
18/01/2022,11,Arcade Made,8.82,0,0
18/01/2022,12,Punk IPA,7.81,40,312.4
18/01/2022,13,Hazy Jane,8.46,53,448.38
18/01/2022,14,Shore Leave,7.74,13,100.62
18/01/2022,15,Simcoe Solo,7.29,9,65.61
18/01/2022,16,Lucky Break,8.37,72,602.64
19/01/2022,1,Black Heart,8.56,96,821.76
19/01/2022,2,Fools Gold,8.07,53,427.71
19/01/2022,3,Cold Beer B,7.05,86,606.3
19/01/2022,4,Lost Lager,7.23,100,723
19/01/2022,5,King Crush,8.29,41,339.89
19/01/2022,6,Wingman Tro,7.55,97,732.35
19/01/2022,7,Grind Stout,7.86,87,683.82
19/01/2022,8,Juice Shack,8.31,23,191.13
19/01/2022,9,Rocky Road,8.4,88,739.2
19/01/2022,10,Wingman,8.34,12,100.08
19/01/2022,11,Arcade Made,8.82,44,388.08
19/01/2022,12,Punk IPA,7.81,49,382.69
19/01/2022,13,Hazy Jane,8.46,25,211.5
19/01/2022,14,Shore Leave,7.74,83,642.42
19/01/2022,15,Simcoe Solo,7.29,38,277.02
19/01/2022,16,Lucky Break,8.37,16,133.92
20/01/2022,1,Black Heart,8.56,9,77.04
20/01/2022,2,Fools Gold,8.07,19,153.33
20/01/2022,3,Cold Beer B,7.05,16,112.8
20/01/2022,4,Lost Lager,7.23,49,354.27
20/01/2022,5,King Crush,8.29,46,381.34
20/01/2022,6,Wingman Tro,7.55,61,460.55
20/01/2022,7,Grind Stout,7.86,87,683.82
20/01/2022,8,Juice Shack,8.31,38,315.78
20/01/2022,9,Rocky Road,8.4,46,386.4
20/01/2022,10,Wingman,8.34,1,8.34
20/01/2022,11,Arcade Made,8.82,84,740.88
20/01/2022,12,Punk IPA,7.81,86,671.66
20/01/2022,13,Hazy Jane,8.46,37,313.02
20/01/2022,14,Shore Leave,7.74,48,371.52
20/01/2022,15,Simcoe Solo,7.29,81,590.49
20/01/2022,16,Lucky Break,8.37,36,301.32
21/01/2022,1,Black Heart,8.56,100,856
21/01/2022,2,Fools Gold,8.07,47,379.29
21/01/2022,3,Cold Beer B,7.05,29,204.45
21/01/2022,4,Lost Lager,7.23,78,563.94
21/01/2022,5,King Crush,8.29,46,381.34
21/01/2022,6,Wingman Tro,7.55,61,460.55
21/01/2022,7,Grind Stout,7.86,45,353.7
21/01/2022,8,Juice Shack,8.31,80,664.8
21/01/2022,9,Rocky Road,8.4,94,789.6
21/01/2022,10,Wingman,8.34,62,517.08
21/01/2022,11,Arcade Made,8.82,69,608.58
21/01/2022,12,Punk IPA,7.81,28,218.68
21/01/2022,13,Hazy Jane,8.46,55,465.3
21/01/2022,14,Shore Leave,7.74,27,208.98
21/01/2022,15,Simcoe Solo,7.29,2,14.58
21/01/2022,16,Lucky Break,8.37,29,242.73
22/01/2022,1,Black Heart,8.56,86,736.16
22/01/2022,2,Fools Gold,8.07,78,629.46
22/01/2022,3,Cold Beer B,7.05,24,169.2
22/01/2022,4,Lost Lager,7.23,95,686.85
22/01/2022,5,King Crush,8.29,36,298.44
22/01/2022,6,Wingman Tro,7.55,62,468.1
22/01/2022,7,Grind Stout,7.86,35,275.1
22/01/2022,8,Juice Shack,8.31,10,83.1
22/01/2022,9,Rocky Road,8.4,31,260.4
22/01/2022,10,Wingman,8.34,35,291.9
22/01/2022,11,Arcade Made,8.82,15,132.3
22/01/2022,12,Punk IPA,7.81,78,609.18
22/01/2022,13,Hazy Jane,8.46,15,126.9
22/01/2022,14,Shore Leave,7.74,49,379.26
22/01/2022,15,Simcoe Solo,7.29,35,255.15
22/01/2022,16,Lucky Break,8.37,68,569.16
23/01/2022,1,Black Heart,8.56,58,496.48
23/01/2022,2,Fools Gold,8.07,62,500.34
23/01/2022,3,Cold Beer B,7.05,73,514.65
23/01/2022,4,Lost Lager,7.23,39,281.97
23/01/2022,5,King Crush,8.29,32,265.28
23/01/2022,6,Wingman Tro,7.55,95,717.25
23/01/2022,7,Grind Stout,7.86,11,86.46
23/01/2022,8,Juice Shack,8.31,12,99.72
23/01/2022,9,Rocky Road,8.4,67,562.8
23/01/2022,10,Wingman,8.34,23,191.82
23/01/2022,11,Arcade Made,8.82,2,17.64
23/01/2022,12,Punk IPA,7.81,64,499.84
23/01/2022,13,Hazy Jane,8.46,8,67.68
23/01/2022,14,Shore Leave,7.74,30,232.2
23/01/2022,15,Simcoe Solo,7.29,43,313.47
23/01/2022,16,Lucky Break,8.37,48,401.76
24/01/2022,1,Black Heart,8.56,20,171.2
24/01/2022,2,Fools Gold,8.07,52,419.64
24/01/2022,3,Cold Beer B,7.05,31,218.55
24/01/2022,4,Lost Lager,7.23,30,216.9
24/01/2022,5,King Crush,8.29,94,779.26
24/01/2022,6,Wingman Tro,7.55,29,218.95
24/01/2022,7,Grind Stout,7.86,84,660.24
24/01/2022,8,Juice Shack,8.31,58,481.98
24/01/2022,9,Rocky Road,8.4,42,352.8
24/01/2022,10,Wingman,8.34,20,166.8
24/01/2022,11,Arcade Made,8.82,28,246.96
24/01/2022,12,Punk IPA,7.81,23,179.63
24/01/2022,13,Hazy Jane,8.46,42,355.32
24/01/2022,14,Shore Leave,7.74,45,348.3
24/01/2022,15,Simcoe Solo,7.29,1,7.29
24/01/2022,16,Lucky Break,8.37,29,242.73
25/01/2022,1,Black Heart,8.56,14,119.84
25/01/2022,2,Fools Gold,8.07,0,0
25/01/2022,3,Cold Beer B,7.05,48,338.4
25/01/2022,4,Lost Lager,7.23,79,571.17
25/01/2022,5,King Crush,8.29,23,190.67
25/01/2022,6,Wingman Tro,7.55,58,437.9
25/01/2022,7,Grind Stout,7.86,90,707.4
25/01/2022,8,Juice Shack,8.31,17,141.27
25/01/2022,9,Rocky Road,8.4,27,226.8
25/01/2022,10,Wingman,8.34,78,650.52
25/01/2022,11,Arcade Made,8.82,10,88.2
25/01/2022,12,Punk IPA,7.81,49,382.69
25/01/2022,13,Hazy Jane,8.46,77,651.42
25/01/2022,14,Shore Leave,7.74,83,642.42
25/01/2022,15,Simcoe Solo,7.29,4,29.16
25/01/2022,16,Lucky Break,8.37,74,619.38
26/01/2022,1,Black Heart,8.56,93,796.08
26/01/2022,2,Fools Gold,8.07,39,314.73
26/01/2022,3,Cold Beer B,7.05,60,423
26/01/2022,4,Lost Lager,7.23,0,0
26/01/2022,5,King Crush,8.29,77,638.33
26/01/2022,6,Wingman Tro,7.55,99,747.45
26/01/2022,7,Grind Stout,7.86,47,369.42
26/01/2022,8,Juice Shack,8.31,6,49.86
26/01/2022,9,Rocky Road,8.4,69,579.6
26/01/2022,10,Wingman,8.34,85,708.9
26/01/2022,11,Arcade Made,8.82,37,326.34
26/01/2022,12,Punk IPA,7.81,12,93.72
26/01/2022,13,Hazy Jane,8.46,59,499.14
26/01/2022,14,Shore Leave,7.74,79,611.46
26/01/2022,15,Simcoe Solo,7.29,81,590.49
26/01/2022,16,Lucky Break,8.37,2,16.74
27/01/2022,1,Black Heart,8.56,31,265.36
27/01/2022,2,Fools Gold,8.07,40,322.8
27/01/2022,3,Cold Beer B,7.05,85,599.25
27/01/2022,4,Lost Lager,7.23,40,289.2
27/01/2022,5,King Crush,8.29,22,182.38
27/01/2022,6,Wingman Tro,7.55,23,173.65
27/01/2022,7,Grind Stout,7.86,80,628.8
27/01/2022,8,Juice Shack,8.31,15,124.65
27/01/2022,9,Rocky Road,8.4,81,680.4
27/01/2022,10,Wingman,8.34,84,700.56
27/01/2022,11,Arcade Made,8.82,35,308.7
27/01/2022,12,Punk IPA,7.81,69,538.89
27/01/2022,13,Hazy Jane,8.46,66,558.36
27/01/2022,14,Shore Leave,7.74,31,239.94
27/01/2022,15,Simcoe Solo,7.29,57,415.53
27/01/2022,16,Lucky Break,8.37,72,602.64
28/01/2022,1,Black Heart,8.56,42,359.52
28/01/2022,2,Fools Gold,8.07,29,234.03
28/01/2022,3,Cold Beer B,7.05,31,218.55
28/01/2022,4,Lost Lager,7.23,67,484.41
28/01/2022,5,King Crush,8.29,26,215.54
28/01/2022,6,Wingman Tro,7.55,1,7.55
28/01/2022,7,Grind Stout,7.86,65,510.9
28/01/2022,8,Juice Shack,8.31,16,132.96
28/01/2022,9,Rocky Road,8.4,65,546
28/01/2022,10,Wingman,8.34,77,642.18
28/01/2022,11,Arcade Made,8.82,72,635.04
28/01/2022,12,Punk IPA,7.81,86,671.66
28/01/2022,13,Hazy Jane,8.46,77,651.42
28/01/2022,14,Shore Leave,7.74,38,294.12
28/01/2022,15,Simcoe Solo,7.29,1,7.29
28/01/2022,16,Lucky Break,8.37,18,150.66
29/01/2022,1,Black Heart,8.56,56,479.36
29/01/2022,2,Fools Gold,8.07,36,290.52
29/01/2022,3,Cold Beer B,7.05,7,49.35
29/01/2022,4,Lost Lager,7.23,21,151.83
29/01/2022,5,King Crush,8.29,27,223.83
29/01/2022,6,Wingman Tro,7.55,56,422.8
29/01/2022,7,Grind Stout,7.86,57,448.02
29/01/2022,8,Juice Shack,8.31,0,0
29/01/2022,9,Rocky Road,8.4,13,109.2
29/01/2022,10,Wingman,8.34,45,375.3
29/01/2022,11,Arcade Made,8.82,93,820.26
29/01/2022,12,Punk IPA,7.81,91,710.71
29/01/2022,13,Hazy Jane,8.46,12,101.52
29/01/2022,14,Shore Leave,7.74,51,394.74
29/01/2022,15,Simcoe Solo,7.29,92,670.68
29/01/2022,16,Lucky Break,8.37,66,552.42
30/01/2022,1,Black Heart,8.56,98,838.88
30/01/2022,2,Fools Gold,8.07,14,112.98
30/01/2022,3,Cold Beer B,7.05,47,331.35
30/01/2022,4,Lost Lager,7.23,63,455.49
30/01/2022,5,King Crush,8.29,24,198.96
30/01/2022,6,Wingman Tro,7.55,22,166.1
30/01/2022,7,Grind Stout,7.86,23,180.78
30/01/2022,8,Juice Shack,8.31,40,332.4
30/01/2022,9,Rocky Road,8.4,13,109.2
30/01/2022,10,Wingman,8.34,91,758.94
30/01/2022,11,Arcade Made,8.82,40,352.8
30/01/2022,12,Punk IPA,7.81,22,171.82
30/01/2022,13,Hazy Jane,8.46,91,769.86
30/01/2022,14,Shore Leave,7.74,56,433.44
30/01/2022,15,Simcoe Solo,7.29,97,707.13
30/01/2022,16,Lucky Break,8.37,91,761.67
31/01/2022,1,Black Heart,8.56,93,796.08
31/01/2022,2,Fools Gold,8.07,86,694.02
31/01/2022,3,Cold Beer B,7.05,4,28.2
31/01/2022,4,Lost Lager,7.23,60,433.8
31/01/2022,5,King Crush,8.29,14,116.06
31/01/2022,6,Wingman Tro,7.55,0,0
31/01/2022,7,Grind Stout,7.86,60,471.6
31/01/2022,8,Juice Shack,8.31,71,590.01
31/01/2022,9,Rocky Road,8.4,41,344.4
31/01/2022,10,Wingman,8.34,92,767.28
31/01/2022,11,Arcade Made,8.82,78,687.96
31/01/2022,12,Punk IPA,7.81,88,687.28
31/01/2022,13,Hazy Jane,8.46,61,516.06
31/01/2022,14,Shore Leave,7.74,6,46.44
31/01/2022,15,Simcoe Solo,7.29,29,211.41
31/01/2022,16,Lucky Break,8.37,21,175.77
01/02/2022,1,Black Heart,8.56,85,727.6
01/02/2022,2,Fools Gold,8.07,4,32.28
01/02/2022,3,Cold Beer B,7.05,25,176.25
01/02/2022,4,Lost Lager,7.23,87,629.01
01/02/2022,5,King Crush,8.29,33,273.57
01/02/2022,6,Wingman Tro,7.55,36,271.8
01/02/2022,7,Grind Stout,7.86,44,345.84
01/02/2022,8,Juice Shack,8.31,36,299.16
01/02/2022,9,Rocky Road,8.4,28,235.2
01/02/2022,10,Wingman,8.34,46,383.64
01/02/2022,11,Arcade Made,8.82,40,352.8
01/02/2022,12,Punk IPA,7.81,99,773.19
01/02/2022,13,Hazy Jane,8.46,95,803.7
01/02/2022,14,Shore Leave,7.74,11,85.14
01/02/2022,15,Simcoe Solo,7.29,73,532.17
01/02/2022,16,Lucky Break,8.37,39,326.43
02/02/2022,1,Black Heart,8.56,50,428
02/02/2022,2,Fools Gold,8.07,79,637.53
02/02/2022,3,Cold Beer B,7.05,73,514.65
02/02/2022,4,Lost Lager,7.23,48,347.04
02/02/2022,5,King Crush,8.29,71,588.59
02/02/2022,6,Wingman Tro,7.55,62,468.1
02/02/2022,7,Grind Stout,7.86,40,314.4
02/02/2022,8,Juice Shack,8.31,21,174.51
02/02/2022,9,Rocky Road,8.4,99,831.6
02/02/2022,10,Wingman,8.34,43,358.62
02/02/2022,11,Arcade Made,8.82,87,767.34
02/02/2022,12,Punk IPA,7.81,31,242.11
02/02/2022,13,Hazy Jane,8.46,7,59.22
02/02/2022,14,Shore Leave,7.74,15,116.1
02/02/2022,15,Simcoe Solo,7.29,19,138.51
02/02/2022,16,Lucky Break,8.37,72,602.64
03/02/2022,1,Black Heart,8.56,56,479.36
03/02/2022,2,Fools Gold,8.07,68,548.76
03/02/2022,3,Cold Beer B,7.05,97,683.85
03/02/2022,4,Lost Lager,7.23,61,441.03
03/02/2022,5,King Crush,8.29,14,116.06
03/02/2022,6,Wingman Tro,7.55,18,135.9
03/02/2022,7,Grind Stout,7.86,35,275.1
03/02/2022,8,Juice Shack,8.31,69,573.39
03/02/2022,9,Rocky Road,8.4,32,268.8
